,0
0,-0.00501173734664917
1,-0.00501173734664917
2,-0.00501173734664917
3,-0.00501173734664917
4,-0.00501173734664917
5,-0.00501173734664917
6,-0.00501173734664917
7,-0.00501173734664917
8,-0.00501173734664917
9,-0.00501173734664917
10,-0.00501173734664917
11,-0.00501173734664917
12,-0.00501173734664917
13,-0.00501173734664917
14,-0.00501173734664917
15,-0.00501173734664917
16,-0.00501173734664917
17,-0.00501173734664917
18,-0.00501173734664917
19,-0.00501173734664917
20,-0.00501173734664917
21,-0.00501173734664917
22,-0.00501173734664917
23,-0.00501173734664917
24,-0.00501173734664917
25,-0.00501173734664917
26,-0.00501173734664917
27,-0.00501173734664917
28,-0.00501173734664917
29,-0.00501173734664917
30,-0.00501173734664917
31,-0.00501173734664917
32,-0.00501173734664917
33,-0.00501173734664917
34,-0.00501173734664917
35,-0.00501173734664917
36,-0.00501173734664917
37,-0.00501173734664917
38,-0.00501173734664917
39,-0.00501173734664917
40,-0.00501173734664917
41,-0.00501173734664917
42,-0.00501173734664917
43,-0.00501173734664917
44,-0.005012437701225281
