,0
0,0.0036864280700683594
1,0.0036864280700683594
2,0.0036864280700683594
3,0.0036864280700683594
4,0.0036864280700683594
5,0.0036864280700683594
6,0.0036864280700683594
7,0.0036864280700683594
8,0.0036864280700683594
9,0.0036864280700683594
10,0.0036864280700683594
11,0.0036864280700683594
12,0.0036864280700683594
13,0.0036864280700683594
14,0.0036864280700683594
15,0.0036864280700683594
16,0.0036864280700683594
17,0.0036864280700683594
18,0.0036864280700683594
19,0.0036864280700683594
20,0.0036864280700683594
21,0.0036864280700683594
22,0.0036864280700683594
23,0.0036864280700683594
24,0.0036864280700683594
25,0.0036864280700683594
26,0.0036864280700683594
27,0.0036864280700683594
28,0.0036864280700683594
29,0.0036864280700683594
30,0.0036864280700683594
31,0.0036864280700683594
32,0.0036864280700683594
33,0.0036864280700683594
34,0.0036864280700683594
35,0.0036864280700683594
36,0.0036864280700683594
37,0.0036864280700683594
38,0.0036864280700683594
39,0.0036864280700683594
40,0.0036864280700683594
41,0.0036864280700683594
42,0.0036864280700683594
43,0.0036864280700683594
44,0.003685474395751953
